Peak from 115300 to 115309, duration: 9, core average: 9731454
Peak from 115301 to 115309, duration: 8, core average: 9615667
Peak from 115302 to 115309, duration: 7, core average: 9461233
Peak from 115303 to 115309, duration: 6, core average: 9240040
Peak from 115370 to 115376, duration: 6, core average: 9188994
Peak from 115264 to 115275, duration: 11, core average: 9108102
Peak from 115265 to 115275, duration: 10, core average: 9032062
Peak from 115266 to 115275, duration: 9, core average: 8934088
Peak from 115304 to 115309, duration: 5, core average: 8897718
Peak from 115371 to 115376, duration: 5, core average: 8866541
Peak from 115326 to 115330, duration: 4, core average: 8839280
Peak from 115267 to 115275, duration: 8, core average: 8804605
Peak from 115402 to 115407, duration: 5, core average: 8726255
Peak from 115268 to 115275, duration: 7, core average: 8638059
Peak from 115481 to 115487, duration: 6, core average: 8552236
Peak from 115313 to 115317, duration: 4, core average: 8544824
Peak from 115206 to 115217, duration: 11, core average: 8501084
Peak from 115220 to 115229, duration: 9, core average: 8479466
Peak from 115207 to 115217, duration: 10, core average: 8424311
Peak from 115269 to 115275, duration: 6, core average: 8404542
Peak from 115372 to 115376, duration: 4, core average: 8360552
Peak from 115221 to 115229, duration: 8, core average: 8358113
Peak from 115305 to 115309, duration: 4, core average: 8354446
Peak from 115208 to 115217, duration: 9, core average: 8328477
Peak from 115482 to 115487, duration: 5, core average: 8240287
Peak from 115403 to 115407, duration: 4, core average: 8205412
Peak from 115209 to 115217, duration: 8, core average: 8204492
Peak from 115393 to 115397, duration: 4, core average: 8201815
Peak from 115222 to 115229, duration: 7, core average: 8194391
Peak from 115270 to 115275, duration: 5, core average: 8075015
Peak from 115423 to 115427, duration: 4, core average: 8071520
Peak from 115189 to 115197, duration: 8, core average: 8069538
Peak from 115210 to 115217, duration: 7, core average: 8043021
Peak from 115188 to 115197, duration: 9, core average: 7991266
Peak from 115223 to 115229, duration: 6, core average: 7973726
Peak from 115190 to 115197, duration: 7, core average: 7965953
Peak from 115283 to 115287, duration: 4, core average: 7902180
Peak from 115327 to 115330, duration: 3, core average: 7892296
Peak from 115211 to 115217, duration: 6, core average: 7825635
Peak from 115454 to 115458, duration: 4, core average: 7771110
Peak from 115191 to 115197, duration: 6, core average: 7760876
Peak from 115233 to 115238, duration: 5, core average: 7750333
Peak from 115483 to 115487, duration: 4, core average: 7740470
Peak from 115344 to 115347, duration: 3, core average: 7739929
Peak from 115187 to 115197, duration: 10, core average: 7729399
Peak from 115340 to 115343, duration: 3, core average: 7705253
Peak from 115224 to 115229, duration: 5, core average: 7657799
Peak from 115314 to 115317, duration: 3, core average: 7604687
Peak from 115377 to 115380, duration: 3, core average: 7585858
Peak from 115271 to 115275, duration: 4, core average: 7579833
Peak from 115212 to 115217, duration: 5, core average: 7517212
Peak from 115192 to 115197, duration: 5, core average: 7460104
Peak from 115373 to 115376, duration: 3, core average: 7455404
Peak from 115186 to 115197, duration: 11, core average: 7452450
Peak from 115306 to 115309, duration: 3, core average: 7439635
Peak from 115404 to 115407, duration: 3, core average: 7320041
Peak from 115394 to 115397, duration: 3, core average: 7305405
Peak from 115410 to 115413, duration: 3, core average: 7302318
Peak from 115234 to 115238, duration: 4, core average: 7287630
Peak from 115424 to 115427, duration: 3, core average: 7185977
Peak from 116542 to 116547, duration: 5, core average: 7183802
Peak from 115225 to 115229, duration: 4, core average: 7183003
Peak from 115749 to 115754, duration: 5, core average: 7129165
Peak from 115213 to 115217, duration: 4, core average: 7052511
Peak from 115284 to 115287, duration: 3, core average: 7043242
Peak from 115296 to 115299, duration: 3, core average: 7036390
Peak from 115193 to 115197, duration: 4, core average: 7007800
Peak from 115455 to 115458, duration: 3, core average: 6930607
Peak from 115467 to 115470, duration: 3, core average: 6899505
Peak from 116204 to 116210, duration: 6, core average: 6887243
Peak from 116759 to 116770, duration: 11, core average: 6886303
Peak from 115484 to 115487, duration: 3, core average: 6885919
Peak from 115449 to 115452, duration: 3, core average: 6872970
Peak from 117368 to 117375, duration: 7, core average: 6859326
Peak from 116760 to 116770, duration: 10, core average: 6846176
Peak from 115279 to 115282, duration: 3, core average: 6842274
Peak from 115498 to 115501, duration: 3, core average: 6836272
Peak from 120404 to 120410, duration: 6, core average: 6825924
Peak from 116761 to 116770, duration: 9, core average: 6795808
Peak from 122572 to 122578, duration: 6, core average: 6792172
Peak from 115648 to 115655, duration: 7, core average: 6789445
Peak from 116543 to 116547, duration: 4, core average: 6777253
Peak from 115272 to 115275, duration: 3, core average: 6750413
Peak from 112892 to 112909, duration: 17, core average: 6749689
Peak from 112893 to 112909, duration: 16, core average: 6741494
Peak from 112894 to 112909, duration: 15, core average: 6730866
Peak from 116762 to 116770, duration: 8, core average: 6729868
Peak from 115810 to 115818, duration: 8, core average: 6719858
Peak from 117369 to 117375, duration: 6, core average: 6717683
Peak from 112895 to 112909, duration: 14, core average: 6712808
Peak from 115750 to 115754, duration: 4, core average: 6703927
Peak from 112896 to 112909, duration: 13, core average: 6691438
Peak from 116205 to 116210, duration: 5, core average: 6680183
Peak from 116920 to 116929, duration: 9, core average: 6671975
Peak from 112897 to 112909, duration: 12, core average: 6665057
Peak from 116763 to 116770, duration: 7, core average: 6637313
Peak from 115649 to 115655, duration: 6, core average: 6636577
Peak from 112898 to 112909, duration: 11, core average: 6631576
Peak from 115811 to 115818, duration: 7, core average: 6616918
Peak from 120447 to 120456, duration: 9, core average: 6605618
