Peak from 923 to 932, duration: 9, core average: 1030618
Peak from 922 to 932, duration: 10, core average: 1029498
Peak from 924 to 932, duration: 8, core average: 1028983
Peak from 921 to 932, duration: 11, core average: 1028442
Peak from 920 to 932, duration: 12, core average: 1026589
Peak from 925 to 932, duration: 7, core average: 1023624
Peak from 926 to 932, duration: 6, core average: 1010319
Peak from 927 to 932, duration: 5, core average: 983283
Peak from 928 to 932, duration: 4, core average: 937487
Peak from 896 to 900, duration: 4, core average: 894509
Peak from 929 to 932, duration: 3, core average: 850500
Peak from 897 to 900, duration: 3, core average: 816003
Peak from 909 to 912, duration: 3, core average: 780503
Peak from 944 to 947, duration: 3, core average: 705384
Peak from 889 to 895, duration: 6, core average: 699307
Peak from 890 to 895, duration: 5, core average: 697266
Peak from 891 to 895, duration: 4, core average: 677040
Peak from 930 to 932, duration: 2, core average: 640645
Peak from 901 to 903, duration: 2, core average: 632458
Peak from 892 to 895, duration: 3, core average: 629724
Peak from 898 to 900, duration: 2, core average: 625767
Peak from 910 to 912, duration: 2, core average: 590744
Peak from 945 to 947, duration: 2, core average: 543380
Peak from 966 to 969, duration: 3, core average: 536937
Peak from 883 to 887, duration: 4, core average: 485055
Peak from 893 to 895, duration: 2, core average: 480341
Peak from 2491 to 2498, duration: 7, core average: 474484
Peak from 2490 to 2498, duration: 8, core average: 470744
Peak from 2492 to 2498, duration: 6, core average: 470160
Peak from 870 to 873, duration: 3, core average: 465865
Peak from 2489 to 2498, duration: 9, core average: 464055
Peak from 2493 to 2498, duration: 5, core average: 458597
Peak from 876 to 879, duration: 3, core average: 457493
Peak from 840 to 845, duration: 5, core average: 449265
Peak from 839 to 845, duration: 6, core average: 445863
Peak from 865 to 869, duration: 4, core average: 445030
Peak from 841 to 845, duration: 4, core average: 444453
Peak from 884 to 887, duration: 3, core average: 437783
Peak from 2494 to 2498, duration: 4, core average: 437269
Peak from 842 to 845, duration: 3, core average: 411122
Peak from 967 to 969, duration: 2, core average: 407694
Peak from 866 to 869, duration: 3, core average: 406920
Peak from 1003 to 1007, duration: 4, core average: 400079
Peak from 2495 to 2498, duration: 3, core average: 395445
Peak from 1406 to 1420, duration: 14, core average: 373686
Peak from 1407 to 1420, duration: 13, core average: 373523
Peak from 1405 to 1420, duration: 15, core average: 373485
Peak from 1404 to 1420, duration: 16, core average: 372931
Peak from 1408 to 1420, duration: 12, core average: 372870
Peak from 1403 to 1420, duration: 17, core average: 372010
Peak from 1409 to 1420, duration: 11, core average: 371571
Peak from 1410 to 1420, duration: 10, core average: 369363
Peak from 855 to 857, duration: 2, core average: 368305
Peak from 1411 to 1420, duration: 9, core average: 366177
Peak from 1412 to 1420, duration: 8, core average: 361862
Peak from 1012 to 1015, duration: 3, core average: 359195
Peak from 1004 to 1007, duration: 3, core average: 355807
Peak from 1413 to 1420, duration: 7, core average: 355725
